#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
"salastil.com",suspend,false,false,"FediFence.Social",false
"schelling.pt",suspend,false,false,"FediFence.Social",false
"seahorse.sh",suspend,false,false,"FediFence.Social",false
"seal.cafe",suspend,false,false,"FediFence.Social",false
"shadowkat.net",suspend,false,false,"FediFence.Social",false
"shigusegubu.club",suspend,false,false,"FediFence.Social",false
"shitpost.cloud",suspend,false,false,"FediFence.Social",false
"shitpost.racing",suspend,false,false,"FediFence.Social",false
"shitposter.club",suspend,false,false,"FediFence.Social",false
"shortstackran.ch",suspend,false,false,"FediFence.Social",false
"shota.house",suspend,false,false,"FediFence.Social",false
"shota.social",suspend,false,false,"FediFence.Social",false
"shpposter.club",suspend,false,false,"FediFence.Social",false
"shrine.moe",suspend,false,false,"FediFence.Social",false
"shunderdo.me",suspend,false,false,"FediFence.Social",false
"sick.social",suspend,false,false,"FediFence.Social",false
"singing.dog",suspend,false,false,"FediFence.Social",false
"skinnyver.se",suspend,false,false,"FediFence.Social",false
"skyjake.fi",suspend,false,false,"FediFence.Social",false
"skyshanty.xyz",suspend,false,false,"FediFence.Social",false
"slash.cl",suspend,false,false,"FediFence.Social",false
"sleepy.cafe",suspend,false,false,"FediFence.Social",false
"smittenkittens.xyz",suspend,false,false,"FediFence.Social",false
"smuglo.li",suspend,false,false,"FediFence.Social",false
"snabelen.no",suspend,false,false,"FediFence.Social",false
"sneed.social",suspend,false,false,"FediFence.Social",false
"sneed.vip",suspend,false,false,"FediFence.Social",false
"soapbox.midwaytrades.com",suspend,false,false,"FediFence.Social",false
"socialgoblins.club",suspend,false,false,"FediFence.Social",false
"socialpa.ws",suspend,false,false,"FediFence.Social",false
"soykaf.com",suspend,false,false,"FediFence.Social",false
"sperg.city",suspend,false,false,"FediFence.Social",false
"spook.social",suspend,false,false,"FediFence.Social",false
"starnix.network",suspend,false,false,"FediFence.Social",false
"stereophonic.space",suspend,false,false,"FediFence.Social",false
"stracknet.com",suspend,false,false,"FediFence.Social",false
"strelizia.net",suspend,false,false,"FediFence.Social",false
"sully.site",suspend,false,false,"FediFence.Social",false
"suya.place",suspend,false,false,"FediFence.Social",false
"teci.world",suspend,false,false,"FediFence.Social",false
"thejar.club",suspend,false,false,"FediFence.Social",false
"thepostearthdestination.com",suspend,false,false,"FediFence.Social",false
"thisis.mylegendary.quest",suspend,false,false,"FediFence.Social",false
"tkammer.de",suspend,false,false,"FediFence.Social",false
"tkw.fm",suspend,false,false,"FediFence.Social",false
"tomo.airen-no-jikken.icu",suspend,false,false,"FediFence.Social",false
"tonesplace.com",suspend,false,false,"FediFence.Social",false
"tristram.uber.space",suspend,false,false,"FediFence.Social",false
"troll.cafe",suspend,false,false,"FediFence.Social",false
"tuusin.misono-ya.info",suspend,false,false,"FediFence.Social",false
"udongein.xyz",suspend,false,false,"FediFence.Social",false
"ungoverned.social",suspend,false,false,"FediFence.Social",false
"urchan.org",suspend,false,false,"FediFence.Social",false
"urspringer.de",suspend,false,false,"FediFence.Social",false
"valkyrie.world",suspend,false,false,"FediFence.Social",false
"varishangout.net",suspend,false,false,"FediFence.Social",false
"veenus.art",suspend,false,false,"FediFence.Social",false
"voidworks.cc",suspend,false,false,"FediFence.Social",false
"waifuism.life",suspend,false,false,"FediFence.Social",false
"we.1being.org",suspend,false,false,"FediFence.Social",false
"weeaboo.space",suspend,false,false,"FediFence.Social",false
"whinge.town",suspend,false,false,"FediFence.Social",false
"wideboys.org",suspend,false,false,"FediFence.Social",false
