domain,block_type,reject_media,reject_reports,private_comment,public_comment,obfuscate
"lain.sh",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lainchan.gay",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"leadslinger.org",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"leafposter.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"leftychan.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"liberal.city",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"liberdon.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"libertynode.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"librosphere.fr",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lightlyseared.online",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lightnovel-dungeon.de",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ligma.pro",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lizards.live",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"loli.best",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"lolison.top",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"lord.re",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lovingexpressions.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lyrenhex.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ma.jameuwu.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"macsnet.cz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"maneisacutie.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"masochi.st",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mastodon.ml",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mastodon.tech",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mastodong.lol",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"merovingian.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"milker.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"miniwa.moe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mirr0r.city",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"misskey-forkbomb.cf",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"moe.cachapa.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mooo.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mr64.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mrhands.horse",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"mugicha.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"muh.wang",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"myopic.one",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"nanovim.tk",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"narrativerry.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"natehiggers.online",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"nationaljustice.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"netzsphaere.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"nicecrew.digital",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"nightshift.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"nikotile.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"noagendasocial.com",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"nobodyhasthe.biz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"normie.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"novo-atlantis.null.media",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"office.dtzbts.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"outerheaven.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"outpoa.st",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"pawlicker.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"paws.moe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"pieville.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"pirateradio.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"pixificial.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"pleroma-in.ouda.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"plma.plus.st",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"poa.st",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"podcastindex.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"polaris-1.work",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"posix.gay",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"post.ebin.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"poster.place",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"posting.lolicon.rocks",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"privex.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"prsm.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ps.m0n5t3r.info",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"pub.killrobot.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"rageparty.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"rapefeminists.network",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"rapemeat.solutions",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"rapist.town",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"rdrama.cc",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"real.dogsex.org",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"rebased.io",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"redstateliberal.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"refusal.biz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"refuse2.work",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"repl.co",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"riddly.rakka.tk",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"rojogato.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ryona.agency",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"sad.cab",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"sakamoto.gq",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
